Stage,Round,Leg,Conf 1,Conf 2,Date,Team 1,FT,HT,Team 2,ET,P
Regular,?,,West,East,(Fri) 12 May 2000 (W19),Sporting Kansas City (9),2-0,?,New York Red Bulls (9),,
Regular,?,,West,West,(Tue) 16 May 2000 (W20),San Jose Earthquakes (10),0-0,?,LA Galaxy (10),,
Regular,?,,East,West,(Tue) 16 May 2000 (W20),New England Revolution (10),3-4,?,Colorado Rapids (11),,
Regular,?,,West,East,(Tue) 16 May 2000 (W20),Sporting Kansas City (10),2-0,?,D.C. United (11),,
Regular,?,,Central,East,(Fri) 19 May 2000 (W20),Chicago Fire (11),0-1,?,New England Revolution (11),,
Regular,?,,Central,Central,(Fri) 19 May 2000 (W20),Columbus Crew SC (11),2-1,?,FC Dallas (10),,
Regular,?,,West,East,(Fri) 19 May 2000 (W20),LA Galaxy (11),2-1,?,D.C. United (12),,
Regular,?,,East,West,(Fri) 19 May 2000 (W20),Miami Fusion (11),2-0,?,Colorado Rapids (12),,
Regular,?,,East,Central,(Fri) 19 May 2000 (W20),New York Red Bulls (10),3-2,?,Tampa Bay Mutiny (11),,
Regular,?,,West,West,(Fri) 19 May 2000 (W20),Sporting Kansas City (11),2-0,?,San Jose Earthquakes (11),,
Regular,?,,Central,Central,(Tue) 23 May 2000 (W21),Chicago Fire (12),4-3,?,FC Dallas (11),,
Regular,?,,East,West,(Tue) 23 May 2000 (W21),New England Revolution (12),2-1,?,LA Galaxy (12),,
Regular,?,,East,Central,(Fri) 26 May 2000 (W21),D.C. United (13),3-2,?,FC Dallas (12),,
Regular,?,,West,West,(Fri) 26 May 2000 (W21),LA Galaxy (13),1-1,?,San Jose Earthquakes (12),,
Regular,?,,East,Central,(Fri) 26 May 2000 (W21),Miami Fusion (12),2-4,?,Columbus Crew SC (12),,
Regular,?,,Central,West,(Fri) 26 May 2000 (W21),Tampa Bay Mutiny (12),1-2,?,Sporting Kansas City (12),,
Regular,?,,East,Central,(Fri) 26 May 2000 (W21),New York Red Bulls (11),4-1,?,Chicago Fire (13),,
Regular,?,,West,East,(Sun) 28 May 2000 (W21),Colorado Rapids (13),2-1,?,New England Revolution (13),,
Regular,?,,Central,East,(Fri) 2 Jun 2000 (W22),Columbus Crew SC (13),1-1,?,D.C. United (14),,
Regular,?,,Central,Central,(Fri) 2 Jun 2000 (W22),FC Dallas (13),2-3,?,Tampa Bay Mutiny (13),,
Regular,?,,West,West,(Fri) 2 Jun 2000 (W22),San Jose Earthquakes (13),4-2,?,Colorado Rapids (14),,
Regular,?,,West,East,(Fri) 2 Jun 2000 (W22),LA Galaxy (14),0-2,?,New York Red Bulls (12),,
Regular,?,,East,East,(Fri) 2 Jun 2000 (W22),New England Revolution (14),2-0,?,Miami Fusion (13),,
Regular,?,,Central,West,(Sat) 3 Jun 2000 (W22),Chicago Fire (14),3-2,?,Sporting Kansas City (13),,
