Stage,Round,Leg,Date,Team 1,FT,HT,Team 2,Conf 1,Conf 2,ET,P
Regular,?,,(Thu) 25 Sep 1997 (W38),New York Red Bulls (31),0-1,?,Columbus Crew SC (31),East,East,,
Regular,?,,(Thu) 25 Sep 1997 (W38),FC Dallas (32),1-2,?,New England Revolution (32),West,East,,
Regular,?,,(Fri) 26 Sep 1997 (W38),Tampa Bay Mutiny (31),1-5,?,D.C. United (31),East,East,,
Regular,?,,(Fri) 26 Sep 1997 (W38),Sporting Kansas City (31),5-2,?,Colorado Rapids (31),West,West,,
Regular,?,,(Sun) 28 Sep 1997 (W38),Columbus Crew SC (32),2-1,?,Tampa Bay Mutiny (32),East,East,,
Regular,?,,(Sun) 28 Sep 1997 (W38),D.C. United (32),1-3,?,New York Red Bulls (32),East,East,,
Regular,?,,(Sun) 28 Sep 1997 (W38),LA Galaxy (32),2-0,?,Sporting Kansas City (32),West,West,,
Regular,?,,(Sun) 28 Sep 1997 (W38),San Jose Earthquakes (32),1-3,?,Colorado Rapids (32),West,West,,
Playoff,Conf. Semifinals,1,(Sat) 4 Oct 1997 (W39),Sporting Kansas City (33),0-3,?,Colorado Rapids (33),West,West,,
Playoff,Conf. Semifinals,1,(Sun) 5 Oct 1997 (W39),LA Galaxy (33),0-0,?,FC Dallas (33),West,West,0-0 (a.e.t.),0-1 (pen.)
Playoff,Conf. Semifinals,1,(Sun) 5 Oct 1997 (W39),D.C. United (33),4-1,?,New England Revolution (33),East,East,,
Playoff,Conf. Semifinals,1,(Sun) 5 Oct 1997 (W39),Tampa Bay Mutiny (33),1-2,?,Columbus Crew SC (33),East,East,,
Playoff,Conf. Semifinals,2,(Wed) 8 Oct 1997 (W40),Colorado Rapids (34),3-2,?,Sporting Kansas City (34),West,West,,
Playoff,Conf. Semifinals,2,(Wed) 8 Oct 1997 (W40),FC Dallas (34),3-0,?,LA Galaxy (34),West,West,,
Playoff,Conf. Semifinals,2,(Wed) 8 Oct 1997 (W40),New England Revolution (34),1-1,?,D.C. United (34),East,East,1-1 (a.e.t.),1-2 (pen.)
Playoff,Conf. Semifinals,2,(Wed) 8 Oct 1997 (W40),Columbus Crew SC (34),2-0,?,Tampa Bay Mutiny (34),East,East,,
Playoff,Conf. Finals,1,(Sun) 12 Oct 1997 (W40),D.C. United (35),3-2,?,Columbus Crew SC (35),East,East,,
Playoff,Conf. Finals,1,(Sun) 12 Oct 1997 (W40),FC Dallas (35),0-1,?,Colorado Rapids (35),West,West,,
Playoff,Conf. Finals,2,(Wed) 15 Oct 1997 (W41),Columbus Crew SC (36),0-1,?,D.C. United (36),East,East,,
Playoff,Conf. Finals,2,(Wed) 15 Oct 1997 (W41),Colorado Rapids (36),2-1,?,FC Dallas (36),West,West,,
Playoff,Final,,(Sun) 26 Oct 1997 (W42),D.C. United (37),2-1,?,Colorado Rapids (37),East,West,,
