Stage,Round,Leg,Date,Team 1,FT,HT,Team 2,Conf 1,Conf 2,ET,Pen
regular,?,-,(Sat) 23 May 2009 (W20),Sporting Kansas City (11),1-1,?,CD Chivas USA (11),East,West,-,-
regular,?,-,(Sat) 23 May 2009 (W20),Houston Dynamo (9),3-1,?,San Jose Earthquakes (9),West,West,-,-
regular,?,-,(Sat) 23 May 2009 (W20),FC Dallas (10),1-1,?,LA Galaxy (10),West,West,-,-
regular,?,-,(Sat) 23 May 2009 (W20),Colorado Rapids (9),2-2,?,Seattle Sounders FC (10),West,West,-,-
regular,?,-,(Sun) 24 May 2009 (W20),New York Red Bulls (11),0-1,?,Chicago Fire (10),East,East,-,-
regular,?,-,(Wed) 27 May 2009 (W21),Columbus Crew SC (10),2-1,?,San Jose Earthquakes (10),East,West,-,-
regular,?,-,(Fri) 29 May 2009 (W21),CD Chivas USA (12),2-3,?,Chicago Fire (11),West,East,-,-
regular,?,-,(Sat) 30 May 2009 (W21),New York Red Bulls (12),2-3,?,Colorado Rapids (10),East,West,-,-
regular,?,-,(Sat) 30 May 2009 (W21),New England Revolution (10),2-1,?,D.C. United (12),East,East,-,-
regular,?,-,(Sat) 30 May 2009 (W21),Houston Dynamo (10),3-0,?,Toronto FC (12),West,East,-,-
regular,?,-,(Sun) 31 May 2009 (W21),Seattle Sounders FC (11),1-1,?,Columbus Crew SC (11),West,East,-,-
regular,?,-,(Sun) 31 May 2009 (W21),LA Galaxy (11),1-1,?,Sporting Kansas City (12),West,East,-,-
regular,?,-,(Sun) 31 May 2009 (W21),San Jose Earthquakes (11),2-1,?,Real Salt Lake (11),West,West,-,-
regular,?,-,(Sun) 31 May 2009 (W21),Chicago Fire (12),0-3,?,FC Dallas (11),East,West,-,-
regular,?,-,(Thu) 4 Jun 2009 (W22),D.C. United (13),2-0,?,New York Red Bulls (13),East,East,-,-
regular,?,-,(Fri) 5 Jun 2009 (W22),Chicago Fire (13),0-1,?,Houston Dynamo (11),East,West,-,-
regular,?,-,(Sat) 6 Jun 2009 (W22),Toronto FC (13),1-2,?,LA Galaxy (12),East,West,-,-
regular,?,-,(Sat) 6 Jun 2009 (W22),Sporting Kansas City (13),0-2,?,Columbus Crew SC (12),East,East,-,-
regular,?,-,(Sun) 7 Jun 2009 (W22),Real Salt Lake (12),1-1,?,Colorado Rapids (11),West,West,-,-
regular,?,-,(Sun) 7 Jun 2009 (W22),CD Chivas USA (13),1-0,?,Seattle Sounders FC (12),West,West,-,-
