Stage,Round,Leg,Date,Team 1,FT,HT,Team 2,Conf 1,Conf 2,ET,P
Regular,?,,(Sat) 24 Aug 2013 (W33),FC Dallas (26),2-2,?,San Jose Earthquakes (26),West,West,,
Regular,?,,(Sat) 24 Aug 2013 (W33),Real Salt Lake (27),4-0,?,Columbus Crew SC (25),West,East,,
Regular,?,,(Sun) 25 Aug 2013 (W33),CD Chivas USA (25),3-2,?,New York Red Bulls (26),West,East,,
Regular,?,,(Sun) 25 Aug 2013 (W33),New England Revolution (25),5-1,?,Philadelphia Union (26),East,East,,
Regular,?,,(Mon) 26 Aug 2013 (W34),Seattle Sounders FC (23),1-0,?,Portland Timbers (25),West,West,,
Regular,?,,(Fri) 30 Aug 2013 (W34),Toronto FC (26),1-1,?,New England Revolution (26),East,East,,
Regular,?,,(Sat) 31 Aug 2013 (W34),Real Salt Lake (28),4-2,?,Portland Timbers (26),West,West,,
Regular,?,,(Sat) 31 Aug 2013 (W34),Philadelphia Union (27),0-0,?,Montreal Impact (25),East,East,,
Regular,?,,(Sat) 31 Aug 2013 (W34),New York Red Bulls (27),2-1,?,D.C. United (26),East,East,,
Regular,?,,(Sat) 31 Aug 2013 (W34),Sporting Kansas City (27),2-1,?,Colorado Rapids (27),East,West,,
Regular,?,,(Sat) 31 Aug 2013 (W34),Columbus Crew SC (26),0-1,?,Seattle Sounders FC (24),East,West,,
Regular,?,,(Sun) 1 Sep 2013 (W34),LA Galaxy (26),3-0,?,San Jose Earthquakes (27),West,West,,
Regular,?,,(Sun) 1 Sep 2013 (W34),Chicago Fire (25),1-1,?,Houston Dynamo (25),East,East,,
Regular,?,,(Sun) 1 Sep 2013 (W34),Vancouver Whitecaps FC (26),2-2,?,CD Chivas USA (26),West,West,,
Regular,?,,(Wed) 4 Sep 2013 (W35),Columbus Crew SC (27),2-0,?,Houston Dynamo (26),East,East,,
Regular,?,,(Thu) 5 Sep 2013 (W35),Seattle Sounders FC (25),1-0,?,CD Chivas USA (27),West,West,,
Regular,?,,(Sat) 7 Sep 2013 (W35),FC Dallas (27),3-1,?,Vancouver Whitecaps FC (27),West,West,,
Regular,?,,(Sat) 7 Sep 2013 (W35),Sporting Kansas City (28),3-0,?,Columbus Crew SC (28),East,East,,
Regular,?,,(Sun) 8 Sep 2013 (W35),Seattle Sounders FC (26),2-1,?,Chicago Fire (26),West,East,,
Regular,?,,(Sun) 8 Sep 2013 (W35),LA Galaxy (27),0-1,?,Colorado Rapids (28),West,West,,
Regular,?,,(Sun) 8 Sep 2013 (W35),Portland Timbers (27),4-0,?,Toronto FC (27),West,East,,
Regular,?,,(Sun) 8 Sep 2013 (W35),Houston Dynamo (27),1-4,?,New York Red Bulls (28),East,East,,
Regular,?,,(Sun) 8 Sep 2013 (W35),New England Revolution (27),2-4,?,Montreal Impact (26),East,East,,
Regular,?,,(Sun) 8 Sep 2013 (W35),CD Chivas USA (28),1-0,?,D.C. United (27),West,East,,
Regular,?,,(Mon) 9 Sep 2013 (W36),San Jose Earthquakes (28),1-0,?,Philadelphia Union (28),West,East,,
Regular,?,,(Wed) 11 Sep 2013 (W36),Toronto FC (28),1-1,?,Chicago Fire (27),East,East,,
Regular,?,,(Sat) 14 Sep 2013 (W36),Seattle Sounders FC (27),2-0,?,Real Salt Lake (29),West,West,,
Regular,?,,(Sat) 14 Sep 2013 (W36),Montreal Impact (27),1-2,?,Columbus Crew SC (29),East,East,,
Regular,?,,(Sat) 14 Sep 2013 (W36),D.C. United (28),2-2,?,LA Galaxy (28),East,West,,
Regular,?,,(Sat) 14 Sep 2013 (W36),New York Red Bulls (29),2-0,?,Toronto FC (29),East,East,,
Regular,?,,(Sat) 14 Sep 2013 (W36),Philadelphia Union (29),0-1,?,Houston Dynamo (28),East,East,,
Regular,?,,(Sat) 14 Sep 2013 (W36),Chicago Fire (28),3-2,?,New England Revolution (28),East,East,,
Regular,?,,(Sat) 14 Sep 2013 (W36),Colorado Rapids (29),2-1,?,FC Dallas (28),West,West,,
Regular,?,,(Sun) 15 Sep 2013 (W36),CD Chivas USA (29),1-1,?,Portland Timbers (28),West,West,,
Regular,?,,(Sun) 15 Sep 2013 (W36),San Jose Earthquakes (29),0-0,?,Vancouver Whitecaps FC (28),West,West,,
Regular,?,,(Sat) 21 Sep 2013 (W37),Portland Timbers (29),1-0,?,Colorado Rapids (30),West,West,,
Regular,?,,(Sat) 21 Sep 2013 (W37),Montreal Impact (28),0-3,?,Vancouver Whitecaps FC (29),East,West,,
Regular,?,,(Sat) 21 Sep 2013 (W37),Toronto FC (30),1-2,?,Sporting Kansas City (29),East,East,,
Regular,?,,(Sat) 21 Sep 2013 (W37),New England Revolution (29),2-1,?,D.C. United (29),East,East,,
Regular,?,,(Sat) 21 Sep 2013 (W37),Columbus Crew SC (30),3-0,?,Chicago Fire (29),East,East,,
Regular,?,,(Sat) 21 Sep 2013 (W37),Houston Dynamo (29),5-1,?,CD Chivas USA (30),East,West,,
Regular,?,,(Sat) 21 Sep 2013 (W37),Real Salt Lake (30),1-2,?,San Jose Earthquakes (30),West,West,,
Regular,?,,(Sun) 22 Sep 2013 (W37),LA Galaxy (29),1-1,?,Seattle Sounders FC (28),West,West,,
Regular,?,,(Sun) 22 Sep 2013 (W37),New York Red Bulls (30),1-0,?,FC Dallas (29),East,West,,
Regular,?,,(Fri) 27 Sep 2013 (W38),Sporting Kansas City (30),0-1,?,Philadelphia Union (30),East,East,,
Regular,?,,(Sat) 28 Sep 2013 (W38),Toronto FC (31),4-1,?,D.C. United (30),East,East,,
Regular,?,,(Sat) 28 Sep 2013 (W38),Vancouver Whitecaps FC (30),0-1,?,Real Salt Lake (31),West,West,,
Regular,?,,(Sat) 28 Sep 2013 (W38),New England Revolution (30),1-1,?,Houston Dynamo (30),East,East,,
Regular,?,,(Sat) 28 Sep 2013 (W38),Chicago Fire (30),2-2,?,Montreal Impact (29),East,East,,
Regular,?,,(Sun) 29 Sep 2013 (W38),Portland Timbers (30),1-0,?,LA Galaxy (30),West,West,,
Regular,?,,(Sun) 29 Sep 2013 (W38),FC Dallas (30),2-4,?,Columbus Crew SC (31),West,East,,
Regular,?,,(Sun) 29 Sep 2013 (W38),Seattle Sounders FC (29),1-1,?,New York Red Bulls (31),West,East,,
Regular,?,,(Mon) 30 Sep 2013 (W39),CD Chivas USA (31),0-1,?,San Jose Earthquakes (31),West,West,,
Regular,?,,(Fri) 4 Oct 2013 (W39),D.C. United (31),0-3,?,Chicago Fire (31),East,East,,
Regular,?,,(Fri) 4 Oct 2013 (W39),Houston Dynamo (31),1-0,?,Montreal Impact (30),East,East,,
Regular,?,,(Sat) 5 Oct 2013 (W39),New York Red Bulls (32),2-2,?,New England Revolution (31),East,East,,
Regular,?,,(Sat) 5 Oct 2013 (W39),Columbus Crew SC (32),0-1,?,Sporting Kansas City (31),East,East,,
Regular,?,,(Sat) 5 Oct 2013 (W39),Philadelphia Union (31),1-0,?,Toronto FC (32),East,East,,
Regular,?,,(Sat) 5 Oct 2013 (W39),Real Salt Lake (32),1-1,?,FC Dallas (31),West,West,,
Regular,?,,(Sun) 6 Oct 2013 (W39),Colorado Rapids (31),5-1,?,Seattle Sounders FC (30),West,West,,
Regular,?,,(Sun) 6 Oct 2013 (W39),LA Galaxy (31),5-0,?,CD Chivas USA (32),West,West,,
Regular,?,,(Sun) 6 Oct 2013 (W39),Vancouver Whitecaps FC (31),2-2,?,Portland Timbers (31),West,West,,
Regular,?,,(Wed) 9 Oct 2013 (W40),Houston Dynamo (32),0-0,?,Sporting Kansas City (32),East,East,,
Regular,?,,(Thu) 10 Oct 2013 (W40),Seattle Sounders FC (31),1-4,?,Vancouver Whitecaps FC (32),West,West,,
Regular,?,,(Thu) 10 Oct 2013 (W40),San Jose Earthquakes (32),1-0,?,Colorado Rapids (32),West,West,,
Regular,?,,(Sat) 12 Oct 2013 (W40),Montreal Impact (31),0-1,?,New England Revolution (32),East,East,,
Regular,?,,(Sat) 12 Oct 2013 (W40),D.C. United (32),1-1,?,Philadelphia Union (32),East,East,,
Regular,?,,(Sat) 12 Oct 2013 (W40),FC Dallas (32),2-3,?,Chicago Fire (32),West,East,,
Regular,?,,(Sun) 13 Oct 2013 (W40),Portland Timbers (32),1-0,?,Seattle Sounders FC (32),West,West,,
Regular,?,,(Thu) 17 Oct 2013 (W41),LA Galaxy (32),1-0,?,Montreal Impact (32),West,East,,
Regular,?,,(Fri) 18 Oct 2013 (W41),Sporting Kansas City (33),1-0,?,D.C. United (33),East,East,,
Regular,?,,(Sat) 19 Oct 2013 (W41),Montreal Impact (33),2-1,?,Philadelphia Union (33),East,East,,
Regular,?,,(Sat) 19 Oct 2013 (W41),FC Dallas (33),2-0,?,Seattle Sounders FC (33),West,West,,
Regular,?,,(Sat) 19 Oct 2013 (W41),Colorado Rapids (33),3-2,?,Vancouver Whitecaps FC (33),West,West,,
Regular,?,,(Sat) 19 Oct 2013 (W41),New England Revolution (33),3-2,?,Columbus Crew SC (33),East,East,,
Regular,?,,(Sat) 19 Oct 2013 (W41),Chicago Fire (33),1-0,?,Toronto FC (33),East,East,,
Regular,?,,(Sun) 20 Oct 2013 (W41),Portland Timbers (33),0-0,?,Real Salt Lake (33),West,West,,
Regular,?,,(Sun) 20 Oct 2013 (W41),Houston Dynamo (33),0-3,?,New York Red Bulls (33),East,East,,
Regular,?,,(Sun) 20 Oct 2013 (W41),LA Galaxy (33),0-0,?,San Jose Earthquakes (33),West,West,,
Regular,?,,(Wed) 23 Oct 2013 (W42),Real Salt Lake (34),2-1,?,CD Chivas USA (33),West,West,,
Regular,?,,(Sat) 26 Oct 2013 (W42),Philadelphia Union (34),1-2,?,Sporting Kansas City (34),East,East,,
Regular,?,,(Sat) 26 Oct 2013 (W42),Toronto FC (34),1-0,?,Montreal Impact (34),East,East,,
Regular,?,,(Sat) 26 Oct 2013 (W42),San Jose Earthquakes (34),2-1,?,FC Dallas (34),West,West,,
Regular,?,,(Sun) 27 Oct 2013 (W42),CD Chivas USA (34),0-5,?,Portland Timbers (34),West,West,,
Regular,?,,(Sun) 27 Oct 2013 (W42),D.C. United (34),1-2,?,Houston Dynamo (34),East,East,,
Regular,?,,(Sun) 27 Oct 2013 (W42),Columbus Crew SC (34),0-1,?,New England Revolution (34),East,East,,
Regular,?,,(Sun) 27 Oct 2013 (W42),New York Red Bulls (34),5-2,?,Chicago Fire (34),East,East,,
Regular,?,,(Sun) 27 Oct 2013 (W42),Vancouver Whitecaps FC (34),3-0,?,Colorado Rapids (34),West,West,,
Regular,?,,(Sun) 27 Oct 2013 (W42),Seattle Sounders FC (34),1-1,?,LA Galaxy (34),West,West,,
Playoff,Conf. Knockout,,(Thu) 31 Oct 2013 (W43),Seattle Sounders FC (35),2-0,?,Colorado Rapids (35),West,West,,
Playoff,Conf. Knockout,,(Thu) 31 Oct 2013 (W43),Houston Dynamo (35),3-0,?,Montreal Impact (35),East,East,,
Playoff,Conf. Semifinals,1,(Sat) 2 Nov 2013 (W43),New England Revolution (35),2-1,?,Sporting Kansas City (35),East,East,,
Playoff,Conf. Semifinals,1,(Sun) 3 Nov 2013 (W43),Seattle Sounders FC (36),1-2,?,Portland Timbers (35),West,West,,
Playoff,Conf. Semifinals,1,(Sun) 3 Nov 2013 (W43),Houston Dynamo (36),2-2,?,New York Red Bulls (35),East,East,,
Playoff,Conf. Semifinals,1,(Sun) 3 Nov 2013 (W43),LA Galaxy (35),1-0,?,Real Salt Lake (35),West,West,,
Playoff,Conf. Semifinals,2,(Wed) 6 Nov 2013 (W44),New York Red Bulls (36),1-1,?,Houston Dynamo (37),East,East,1-2 (a.e.t.),
Playoff,Conf. Semifinals,2,(Wed) 6 Nov 2013 (W44),Sporting Kansas City (36),2-1,?,New England Revolution (36),East,East,3-1 (a.e.t.),
Playoff,Conf. Semifinals,2,(Thu) 7 Nov 2013 (W44),Real Salt Lake (36),1-0,?,LA Galaxy (36),West,West,2-0 (a.e.t.),
Playoff,Conf. Semifinals,2,(Fri) 8 Nov 2013 (W44),Portland Timbers (36),3-2,?,Seattle Sounders FC (37),West,West,,
Playoff,Conf. Finals,1,(Sat) 9 Nov 2013 (W44),Houston Dynamo (38),0-0,?,Sporting Kansas City (37),East,East,,
Playoff,Conf. Finals,1,(Sun) 10 Nov 2013 (W44),Real Salt Lake (37),4-2,?,Portland Timbers (37),West,West,,
Playoff,Conf. Finals,2,(Sat) 23 Nov 2013 (W46),Sporting Kansas City (38),2-1,?,Houston Dynamo (39),East,East,,
Playoff,Conf. Finals,2,(Sun) 24 Nov 2013 (W46),Portland Timbers (38),0-1,?,Real Salt Lake (38),West,West,,
Playoff,Final,,(Sat) 7 Dec 2013 (W48),Sporting Kansas City (39),1-1,?,Real Salt Lake (39),East,West,1-1 (a.e.t.),7-6 (pen.)
